Country or administrative area,Area,Coast length,Rainfall,MPW,ME,Ratio ME/MPW
South Korea,99085,2413,1277,12156,387,3.18
Spain,505752,4964,626,20350,235,1.15
Sri Lanka,66533,1340,1857,155466,9654,6.21
Sudan,2503825,853,405,781625,106,0.01
Suriname,146101,386,2177,22933,1677,7.31
Sweden,449206,3218,649,4255,36,0.84
Syria,185757,193,251,502,44,8.79
Taiwan,36313,1566,2514,7502,531,7.08
Tanzania,941757,1424,965,1716400,5785,0.34
Thailand,515107,3219,1404,1361690,22806,1.67
Timor-Leste,14913,706,1625,17244,715,4.15
Togo,57038,56,1186,121783,436,0.36
Tonga,672,419,1669,666,0,0.0
Trinidad and Tobago,5181,362,1927,73139,3557,4.86
Tunisia,155177,1148,233,289538,688,0.24
Turkey,781152,7200,594,1656110,14329,0.87
Ukraine,600353,2782,575,393777,859,0.22
United Arab Emirates,70904,1318,93,5135,14,0.27
United Kingdom,244575,12429,1098,29914,703,2.35
United States,9325599,19924,689,267469,2431,0.91
Uruguay,178158,660,1262,92620,998,1.08
Venezuela,912557,2800,1875,671431,5988,0.89
Vietnam,327732,3444,1772,1112790,28221,2.54
Western Sahara,266830,111,35,4114,38,0.91
Yemen,419900,1906,112,291737,252,0.09
Zimbabwe,390648,1906,665,524865,0,0.0
